,gw_euid,mvt,ts,node_euid,place,sub_type
6523,000D6F000C362FB5,18,2017-06-01 00:10:08,00158D0000E7C56E,29,20
6522,000D6F000C362FB5,18,2017-06-01 00:33:07,00158D0001599CC2,46,20
6521,000D6F000C362FB5,18,2017-06-01 00:33:29,00158D0000E7C56E,29,20
6520,000D6F000C362FB5,18,2017-06-01 00:48:40,00158D0001599CC2,46,20
6519,000D6F000C362FB5,18,2017-06-01 00:48:47,00158D0000E7C56E,29,20
6518,000D6F000C362FB5,18,2017-06-01 00:52:30,00158D0001599CC2,46,20
6517,000D6F000C362FB5,18,2017-06-01 00:52:46,00158D0000E7C56E,29,20
6516,000D6F000C362FB5,18,2017-06-01 00:58:06,00158D0001599CC2,46,20
6515,000D6F000C362FB5,18,2017-06-01 00:58:10,00158D0000E7C56E,29,20
6514,000D6F000C362FB5,18,2017-06-01 01:01:13,00158D0001599CC2,46,20
6513,000D6F000C362FB5,18,2017-06-01 01:09:12,00158D0000E7C56E,29,20
6512,000D6F000C362FB5,18,2017-06-01 01:10:07,00158D0001599CC2,46,20
6511,000D6F000C362FB5,18,2017-06-01 01:12:27,00158D0000E7C56E,29,20
6510,000D6F000C362FB5,18,2017-06-01 01:14:31,00158D0001599CC2,46,20
6509,000D6F000C362FB5,18,2017-06-01 01:18:55,00158D0000E7C56E,29,20
6508,000D6F000C362FB5,18,2017-06-01 01:26:47,00158D0001599CC2,46,20
6507,000D6F000C362FB5,18,2017-06-01 01:26:56,00158D0000E7C56E,29,20
6506,000D6F000C362FB5,18,2017-06-01 01:28:05,00158D00010AD2F0,17,20
308,000D6F000C362FB5,5,2017-06-01 01:28:09,00158D000113037E,87,3
481,000D6F000C362FB5,6,2017-06-01 01:28:13,00158D000113037E,87,3
307,000D6F000C362FB5,5,2017-06-01 01:29:01,00158D000113037E,87,3
480,000D6F000C362FB5,6,2017-06-01 01:29:05,00158D000113037E,87,3
6505,000D6F000C362FB5,18,2017-06-01 01:29:14,00158D0000E7C56E,29,20
6504,000D6F000C362FB5,18,2017-06-01 01:31:25,00158D0001599CC2,46,20
6503,000D6F000C362FB5,18,2017-06-01 01:41:06,00158D0000E7C56E,29,20
6502,000D6F000C362FB5,18,2017-06-01 01:43:06,00158D0001599CC2,46,20
6501,000D6F000C362FB5,18,2017-06-01 01:45:43,00158D0000E7C56E,29,20
6500,000D6F000C362FB5,18,2017-06-01 01:46:54,00158D0001599CC2,46,20
6499,000D6F000C362FB5,18,2017-06-01 02:17:51,00158D0000E7C56E,29,20
6498,000D6F000C362FB5,18,2017-06-01 02:19:11,00158D00015A9894,4,20
6497,000D6F000C362FB5,18,2017-06-01 02:20:07,00158D0000F430BD,5,20
6496,000D6F000C362FB5,18,2017-06-01 02:21:38,00158D0000E7C56E,29,20
6495,000D6F000C362FB5,18,2017-06-01 02:21:57,00158D0001599CC2,46,20
6494,000D6F000C362FB5,18,2017-06-01 03:18:46,00158D0000E7C56E,29,20
6493,000D6F000C362FB5,18,2017-06-01 03:20:07,00158D0001599CC2,46,20
6492,000D6F000C362FB5,18,2017-06-01 03:20:42,00158D00010AD2F0,17,20
6491,000D6F000C362FB5,18,2017-06-01 03:21:04,00158D0000E7C56E,29,20
6490,000D6F000C362FB5,18,2017-06-01 03:21:29,00158D0000F430BD,5,20
6489,000D6F000C362FB5,18,2017-06-01 03:23:05,00158D00015A9894,4,20
6565,000D6F000C362FB5,21,2017-06-01 03:27:29,00158D0001561916,4,30
6577,000D6F000C362FB5,22,2017-06-01 03:31:40,00158D0001561916,4,30
6488,000D6F000C362FB5,18,2017-06-01 03:40:06,00158D0000F430BD,5,20
6487,000D6F000C362FB5,18,2017-06-01 03:42:53,00158D00015A9894,4,20
6486,000D6F000C362FB5,18,2017-06-01 03:44:57,00158D0000E7C56E,29,20
6485,000D6F000C362FB5,18,2017-06-01 03:45:58,00158D0001599CC2,46,20
6484,000D6F000C362FB5,18,2017-06-01 03:46:11,00158D0000E7C56E,29,20
6483,000D6F000C362FB5,18,2017-06-01 03:50:33,00158D0001599CC2,46,20
6482,000D6F000C362FB5,18,2017-06-01 03:59:17,00158D0000E7C56E,29,20
6481,000D6F000C362FB5,18,2017-06-01 04:03:43,00158D0001599CC2,46,20
6480,000D6F000C362FB5,18,2017-06-01 04:04:30,00158D0000E7C56E,29,20
6479,000D6F000C362FB5,18,2017-06-01 04:05:02,00158D0001599CC2,46,20
6478,000D6F000C362FB5,18,2017-06-01 04:05:39,00158D0000E7C56E,29,20
6477,000D6F000C362FB5,18,2017-06-01 04:05:47,00158D00010AD2F0,17,20
6476,000D6F000C362FB5,18,2017-06-01 04:06:49,00158D00015A9894,4,20
6475,000D6F000C362FB5,18,2017-06-01 04:12:36,00158D0000F430BD,5,20
67,000D6F000C362FB5,1,2017-06-01 04:18:38,00124B0008EBB9AA,5,1
6474,000D6F000C362FB5,18,2017-06-01 10:12:05,00158D00015A9894,4,20
135,000D6F000C362FB5,2,2017-06-01 10:12:13,00124B0008EBB9AA,5,1
6473,000D6F000C362FB5,18,2017-06-01 10:13:10,00158D0000F430BD,5,20
66,000D6F000C362FB5,1,2017-06-01 10:13:20,00124B0008EBB9AA,5,1
6472,000D6F000C362FB5,18,2017-06-01 10:56:49,00158D00015A992B,46,20
6471,000D6F000C362FB5,18,2017-06-01 10:56:52,00158D0000E7C56E,29,20
6470,000D6F000C362FB5,18,2017-06-01 10:56:58,00158D0001599CC2,46,20
134,000D6F000C362FB5,2,2017-06-01 10:57:02,00124B0008EBB9AA,5,1
6469,000D6F000C362FB5,18,2017-06-01 10:57:43,00158D0000F430BD,5,20
65,000D6F000C362FB5,1,2017-06-01 10:59:13,00124B0008EBB9AA,5,1
6468,000D6F000C362FB5,18,2017-06-01 12:35:24,00158D0000E7C56E,29,20
133,000D6F000C362FB5,2,2017-06-01 12:35:32,00124B0008EBB9AA,5,1
6467,000D6F000C362FB5,18,2017-06-01 12:42:35,00158D0001599CC2,46,20
6466,000D6F000C362FB5,18,2017-06-01 12:47:37,00158D0000E7C56E,29,20
6465,000D6F000C362FB5,18,2017-06-01 12:49:05,00158D00015A992B,46,20
6464,000D6F000C362FB5,18,2017-06-01 12:49:44,00158D0000E7C56E,29,20
6463,000D6F000C362FB5,18,2017-06-01 12:54:18,00158D0001599CC2,46,20
6462,000D6F000C362FB5,18,2017-06-01 13:00:10,00158D0000E7C56E,29,20
6461,000D6F000C362FB5,18,2017-06-01 13:06:52,00158D0001599CC2,46,20
6460,000D6F000C362FB5,18,2017-06-01 13:14:33,00158D0000E7C56E,29,20
6459,000D6F000C362FB5,18,2017-06-01 13:22:03,00158D00015A9894,4,20
6458,000D6F000C362FB5,18,2017-06-01 13:24:41,00158D0000F430BD,5,20
6457,000D6F000C362FB5,18,2017-06-01 13:27:38,00158D0000E7C56E,29,20
6456,000D6F000C362FB5,18,2017-06-01 13:30:39,00158D00015A992B,46,20
6455,000D6F000C362FB5,18,2017-06-01 13:57:22,00158D0000E7C56E,29,20
6454,000D6F000C362FB5,18,2017-06-01 14:00:36,00158D0000F430BD,5,20
6453,000D6F000C362FB5,18,2017-06-01 14:03:34,00158D00015A9894,4,20
6452,000D6F000C362FB5,18,2017-06-01 14:04:26,00158D0000F430BD,5,20
6451,000D6F000C362FB5,18,2017-06-01 14:07:42,00158D00015A9894,4,20
6450,000D6F000C362FB5,18,2017-06-01 14:08:10,00158D0000F430BD,5,20
6449,000D6F000C362FB5,18,2017-06-01 14:08:39,00158D0000E7C56E,29,20
6448,000D6F000C362FB5,18,2017-06-01 14:08:43,00158D0001599CC2,46,20
6447,000D6F000C362FB5,18,2017-06-01 15:59:08,00158D0000E7C56E,29,20
6446,000D6F000C362FB5,18,2017-06-01 15:59:11,00158D00015A992B,46,20
6445,000D6F000C362FB5,18,2017-06-01 16:00:28,00158D0000E7C56E,29,20
6444,000D6F000C362FB5,18,2017-06-01 16:00:34,00158D0001599CC2,46,20
6443,000D6F000C362FB5,18,2017-06-01 16:21:32,00158D0000E7C56E,29,20
6442,000D6F000C362FB5,18,2017-06-01 16:22:43,00158D0001599CC2,46,20
6441,000D6F000C362FB5,18,2017-06-01 16:31:19,00158D0000E7C56E,29,20
6440,000D6F000C362FB5,18,2017-06-01 16:31:32,00158D0000F430BD,5,20
6439,000D6F000C362FB5,18,2017-06-01 16:31:56,00158D00010AD2F0,17,20
6438,000D6F000C362FB5,18,2017-06-01 16:31:59,00158D0001599CC2,46,20
6437,000D6F000C362FB5,18,2017-06-01 16:33:38,00158D0000E7C56E,29,20
6436,000D6F000C362FB5,18,2017-06-01 16:33:55,00158D00010AD2F0,17,20
6435,000D6F000C362FB5,18,2017-06-01 16:34:08,00158D0001599CC2,46,20
6434,000D6F000C362FB5,18,2017-06-01 17:08:27,00158D0000E7C56E,29,20
6433,000D6F000C362FB5,18,2017-06-01 17:08:38,00158D00015A9894,4,20
6432,000D6F000C362FB5,18,2017-06-01 17:10:38,00158D0000E7C56E,29,20
6431,000D6F000C362FB5,18,2017-06-01 17:10:39,00158D00010AD2F0,17,20
6430,000D6F000C362FB5,18,2017-06-01 17:10:42,00158D0001599CC2,46,20
6429,000D6F000C362FB5,18,2017-06-01 17:21:03,00158D0000E7C56E,29,20
6428,000D6F000C362FB5,18,2017-06-01 17:22:22,00158D0001599CC2,46,20
6427,000D6F000C362FB5,18,2017-06-01 17:22:27,00158D0000E7C56E,29,20
6426,000D6F000C362FB5,18,2017-06-01 17:22:29,00158D00015A992B,46,20
6425,000D6F000C362FB5,18,2017-06-01 17:23:28,00158D0000E7C56E,29,20
6424,000D6F000C362FB5,18,2017-06-01 17:23:30,00158D00015A992B,46,20
6423,000D6F000C362FB5,18,2017-06-01 17:33:23,00158D0000E7C56E,29,20
6422,000D6F000C362FB5,18,2017-06-01 17:33:42,00158D00015A992B,46,20
6421,000D6F000C362FB5,18,2017-06-01 17:42:54,00158D0000E7C56E,29,20
6420,000D6F000C362FB5,18,2017-06-01 17:44:32,00158D0001599CC2,46,20
6419,000D6F000C362FB5,18,2017-06-01 17:44:37,00158D0000E7C56E,29,20
6418,000D6F000C362FB5,18,2017-06-01 17:45:33,00158D0001599CC2,46,20
6417,000D6F000C362FB5,18,2017-06-01 17:59:41,00158D0000E7C56E,29,20
6416,000D6F000C362FB5,18,2017-06-01 18:01:14,00158D0001599CC2,46,20
6415,000D6F000C362FB5,18,2017-06-01 18:04:52,00158D0000E7C56E,29,20
6414,000D6F000C362FB5,18,2017-06-01 18:06:00,00158D0001599CC2,46,20
6413,000D6F000C362FB5,18,2017-06-01 18:13:46,00158D0000E7C56E,29,20
6412,000D6F000C362FB5,18,2017-06-01 18:15:35,00158D0001599CC2,46,20
6411,000D6F000C362FB5,18,2017-06-01 18:17:01,00158D0000E7C56E,29,20
6410,000D6F000C362FB5,18,2017-06-01 18:21:20,00158D0001599CC2,46,20
6409,000D6F000C362FB5,18,2017-06-01 18:26:40,00158D0000E7C56E,29,20
6408,000D6F000C362FB5,18,2017-06-01 18:29:29,00158D0001599CC2,46,20
6407,000D6F000C362FB5,18,2017-06-01 18:34:34,00158D0000E7C56E,29,20
6406,000D6F000C362FB5,18,2017-06-01 18:35:29,00158D0001599CC2,46,20
6405,000D6F000C362FB5,18,2017-06-01 18:40:19,00158D0000E7C56E,29,20
6404,000D6F000C362FB5,18,2017-06-01 18:41:12,00158D0001599CC2,46,20
6403,000D6F000C362FB5,18,2017-06-01 18:42:54,00158D0000E7C56E,29,20
6402,000D6F000C362FB5,18,2017-06-01 18:44:12,00158D0001599CC2,46,20
6401,000D6F000C362FB5,18,2017-06-01 18:44:59,00158D0000E7C56E,29,20
6400,000D6F000C362FB5,18,2017-06-01 18:45:19,00158D0001599CC2,46,20
